Year,County, Code,Deaths,Population,Crude Rate
2011,Highland ,39071,468,43433,1077.5
2011,Hocking ,39073,313,29394,1064.8
2011,Holmes ,39075,276,42746,645.7
2011,Huron ,39077,559,59496,939.6
2011,Jackson ,39079,387,33186,1166.2
2011,Jefferson ,39081,1046,68828,1519.7
2011,Knox ,39083,651,61275,1062.4
2011,Lake ,39085,2346,229885,1020.5
2011,Lawrence ,39087,713,62489,1141
2011,Licking ,39089,1411,167248,843.7
2011,Logan ,39091,432,45688,945.5
2011,Lorain ,39093,2893,301614,959.2
2011,Lucas ,39095,4230,440005,961.4
2011,Madison ,39097,370,43401,852.5
2011,Mahoning ,39099,3045,237270,1283.3
2011,Marion ,39101,645,66212,974.1
2011,Medina ,39103,1372,173262,791.9
2011,Meigs ,39105,265,23680,1119.1
2011,Mercer ,39107,367,40838,898.7
2011,Miami ,39109,1011,102857,982.9
2011,Monroe ,39111,172,14585,1179.3
2011,Montgomery ,39113,5693,537602,1059
2011,Morgan ,39115,178,15034,1184
2011,Morrow ,39117,310,34855,889.4
2011,Muskingum ,39119,884,86237,1025.1
2011,Noble ,39121,127,14702,863.8
2011,Ottawa ,39123,444,41396,1072.6
2011,Paulding ,39125,197,19420,1014.4
2011,Perry ,39127,354,36303,975.1
2011,Pickaway ,39129,484,55990,864.4
2011,Pike ,39131,329,28628,1149.2
2011,Portage ,39133,1304,161624,806.8
2011,Preble ,39135,456,42083,1083.6
2011,Putnam ,39137,294,34294,857.3
2011,Richland ,39139,1355,123510,1097.1
2011,Ross ,39141,810,78249,1035.2
2011,Sandusky ,39143,611,60734,1006
2011,Scioto ,39145,906,79277,1142.8
2011,Seneca ,39147,576,56469,1020
2011,Shelby ,39149,439,49307,890.3
2011,Stark ,39151,4067,375087,1084.3
2011,Summit ,39153,5543,539832,1026.8
2011,Trumbull ,39155,2549,209264,1218.1
2011,Tuscarawas ,39157,987,92508,1066.9
2011,Union ,39159,319,52764,604.6
2011,Van Wert ,39161,287,28601,1003.5
2011,Vinton ,39163,137,13367,1024.9
2011,Warren ,39165,1456,214910,677.5
2011,Washington ,39167,742,61755,1201.5
2011,Wayne ,39169,1023,114611,892.6
2011,Williams ,39171,355,37597,944.2
2011,Wood ,39173,1015,126355,803.3
2011,Wyandot ,39175,207,22692,912.2
2012,Adams ,39001,331,28350,1167.5
2012,Allen ,39003,1121,105141,1066.2
